ds,y,RESP,MA_ATM,bar
2018-11-24,115850000.0,-72,46815192,72
2018-11-25,41200000.0,-12,7802532,12
2018-11-26,234650000.0,-90,58518990,90
2018-11-27,231600000.0,-84,54617724,84
2018-11-28,107450000.0,-73,47465403,73
2018-11-29,192700000.0,-98,63720678,98
2018-11-30,277400000.0,-112,72823632,112
2018-12-01,163450000.0,-80,52016880,80
2018-12-02,128650000.0,-69,44864559,69
2018-12-03,226450000.0,-98,63720678,98
2018-12-04,206250000.0,3885,56568357,87
2018-12-05,149808000.0,62473,55918146,86
2018-12-06,144866000.0,5895,40963293,63
2018-12-07,130450000.0,-70,45514770,70
2018-12-08,229900000.0,-99,64370889,99
2018-12-09,105400000.0,-50,32510550,50
2018-12-10,146850000.0,-81,52667091,81
2018-12-11,250350000.0,-94,61119834,94
2018-12-12,104300000.0,-59,38362449,59
2018-12-13,91450000.0,-44,28609284,44
2018-12-14,128500000.0,-77,50066247,77
2018-12-15,172300000.0,-78,50716458,78
2018-12-16,68700000.0,-48,31210128,48
2018-12-17,218400000.0,-89,57868779,89
2018-12-18,164300000.0,-70,45514770,70
2018-12-19,157950000.0,-86,55918146,86
2018-12-20,98150000.0,-62,40313082,62
2018-12-21,184900000.0,-88,57218568,88
2018-12-22,183700000.0,-83,53967513,83
2018-12-23,96250000.0,-56,36411816,56
2018-12-24,117600000.0,11854,40313082,62
2018-12-25,165700000.0,-90,58518990,90
2018-12-26,220350000.0,-90,58518990,90
2018-12-27,181200000.0,-77,50066247,77
2018-12-28,246620000.0,37602,85827852,132
2018-12-29,277100000.0,-104,67621944,104
2018-12-30,160800000.0,-64,41613504,64
2018-12-31,140750000.0,-68,44214348,68
2019-01-01,115050000.0,-56,36411816,56
2019-01-02,206800000.0,-86,55918146,86
2019-01-03,182500000.0,-87,56568357,87
2019-01-04,227500000.0,-89,57868779,89
2019-01-05,204250000.0,-74,48115614,74
2019-01-06,101900000.0,-53,34461183,53
2019-01-07,284750000.0,-108,70222788,108
2019-01-08,227700000.0,-96,62420256,96
2019-01-09,167300000.0,-69,44864559,69
2019-01-10,156550000.0,-71,46164981,71
2019-01-11,296850000.0,-113,73473843,113
2019-01-12,127050000.0,-56,36411816,56
2019-01-13,111800000.0,-57,37062027,57
2019-01-14,166500000.0,-85,55267935,85
2019-01-15,321450000.0,-108,70222788,108
2019-01-16,152800000.0,-80,52016880,80
2019-01-17,180750000.0,-86,55918146,86
2019-01-18,167700000.0,-90,58518990,90
2019-01-19,89400000.0,-52,33810972,52
2019-01-20,0.0,0,0,0
2019-01-21,223400000.0,-104,67621944,104
2019-01-22,258430000.0,2868,72173421,111
2019-01-23,247350000.0,-97,63070467,97
2019-01-24,255540000.0,2878,65671311,101
2019-01-25,317100000.0,-106,68922366,106
2019-01-26,323720000.0,24702,79975953,123
2019-01-27,236100000.0,-92,59819412,92
2019-01-28,234150000.0,-99,64370889,99
2019-01-29,349800000.0,-131,85177641,131
2019-01-30,204650000.0,-109,70872999,109
